service_id,service_en,service_fr,org_id,org_name_en,org_name_fr
4157,Quasi-judicial review of certain ministerial authorizations,Examen quasi judiciaire de certaines autorisations ,244,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement
4156,Media and Public Inquiries,Médias et demandes de renseignements du public,302,National Security and Intelligence Review Agency Secretariat,Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement
4155,Access to Information and Privacy,Accès à l’information et protection des renseignements personnels,302,National Security and Intelligence Review Agency Secretariat,Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement
4154, Conduct a Review,Effectuer un examen,345, Secretariat of the National Security and Intelligence Committee of Parliamentarians | Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement
4153,Earthquake Early Warning System,Système d'alerte précoce en cas de tremblement de terre,134,Natural Resources Canada,Ressources naturelles Canada
4152,Recognition of Canadian Excellence with the Canadian Honors and Awards Programs,Reconnaissance de l'excellence canadienne grâce aux programmes d'honneurs et de distinctions canadiens,249,Office of the Secretary to the Governor General,
4151,Provisioning of Greetings and Messages from the Governor General,Envoi de messages et de vœux du gouverneur général,249,Office of the Secretary to the Governor General,
4150,Access to Guided Tours of the Governor General's Official Residences (free),Accès aux visites guidées des résidences officielles du gouverneur général (gratuit),249,Office of the Secretary to the Governor General,
4149,Intake and Printing - Personal Registration applications,Réception et impression - Demandes d'enregistrement personnel,127,Health Canada,Santé Canada
4148,CCOHS Business Safety Portal,Portail pour la sécurité en entreprise du CCHST,55,Canadian Centre for Occupational Health and Safety,Centre canadien d’hygiène et de sécurité au travail
4147,Receive and review notification of Public Interest Disclosures under the Privacy Act.,Recevoir et examiner les notifications de communications dans l'intérêt public par les institutions fédérales en vertu de la Loi sur la protection des renseignements personnels.,256,Offices of the Information and Privacy Commissioners of Canada,Commissariats à l’information et à la protection de la vie privée du Canada
4146,Development of Official-Language Communities – Post-Secondary Sector and Scientific Knowledge in French Support Fund,Développement des communautés de langue officielle - Fonds d’appui au secteur postsecondaire et aux savoirs scientifiques en français,122,Canadian Heritage,Patrimoine canadien
4145,Replacement of certificate or endorsement (except for certificate or endorsement lost owing to shipwreck) (marine),"Remplacement d’un brevet, d’un certificat de compétence ou d’un visa, à l’exception d’un brevet, d’un certificat de compétence ou du visa perdu en raison d’un naufrage (marine)",138,Transport Canada,Transports Canada
4144,Issuance of a record of qualifications and examinations,Délivrance d’un relevé de qualifications et d’examens,138,Transport Canada,Transports Canada
4143,Issuance of a certificate or endorsement not requiring examination other than medical examination (marine),Délivrance d’un brevet ou d’un visa n’exigeant pas d’examen autre qu’un examen médical (marine),138,Transport Canada,Transports Canada
4142,Automated Emergency Notification Fan-Out Service (AENFOS),Service automatisé de notification d’urgence en cascade (SANUC),138,Transport Canada,Transports Canada
4141,Navigation Safety Assessment Process (NSAP),Processus d’évaluation de la sécurité de la navigation (PESN),138,Transport Canada,Transports Canada
4140,Determination of Closest Possible Compliance (Marine),Détermination de la conformité la plus proche possible (maritime),138,Transport Canada,Transports Canada
4139,Ship radio equipment technical review,Examen technique de l’équipement radio maritime,138,Transport Canada,Transports Canada
4138,Request or extend a certificate of bareboat registry,Demander ou prolonger un certificat d’immatriculation d’un bâtiment en affrètement coque nue,138,Transport Canada,Transports Canada
4137,Pleasure Craft Operator Cards (PCOC) issued,Cartes de conducteur d’embarcation de plaisance (CCEP) délivrée,138,Transport Canada,Transports Canada
4135,CSC National Victim Services Program: Notify of offender's conditional release,Programme national de services aux victims du SCC : aviser les victimes de la mise en liberté sous condition d'un délinquant,117,Correctional Service Canada,Service correctionnel Canada
4134,CSC National Victim Services Program: Process Victim Statement,Programme national de services aux victims du SCC : traiter les déclarations de la victime,117,Correctional Service Canada,Service correctionnel Canada
4133,CSC National Victim Services Program: Process victim registration request,Programme national de services aux victims du SCC : demande d'inscription,117,Correctional Service Canada,Service correctionnel Canada
4132,Ship Security Alert System (SSAS) Testing,Système d’alerte de sécurité du navire,138,Transport Canada,Transports Canada
4131,Policy development and regulatory updates,Élaboration de politiques et mises à jour réglementaires,127,Health Canada,Santé Canada
4130,Compliance monitoring and reporting,Surveillance et rapports de conformité,127,Health Canada,Santé Canada
4129,"Provide executive leadership, oversight and decision-making","Assurer la direction exécutive, la supervision et la prise de decisions",127,Health Canada,Santé Canada
4128,Strategic policy and planning for stakeholder relations with various groups on the opioid overdose crisis and chronic pain,Politique stratégique et planification des relations avec les parties prenantes de divers groupes concernant la crise des surdoses d'opioïdes et la douleur chronique,127,Health Canada,Santé Canada
4127,Stakeholder engagement and communications,Engagement des parties prenantes et communications,127,Health Canada,Santé Canada
4136,GC Workplace Accessibility Passport (My Accessible Workplace),Passeport pour l’accessibilité en milieu de travail du GC (Mon milieu de travail accessible),326,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada
4126,Cannabis Product Recalls management (type I),Gestion des rappels de produits à base de cannabis (type I),127,Health Canada,Santé Canada
4125,Consular Enquiries,Renseignements consulaires,126,Global Affairs Canada,Affaires mondiales Canada
4124,Sustainable Fisheries Contribution Program - Shared Ocean Fund (Indo-Pacific Strategy),Programme de contribution aux pêches durables - Fonds commun pour les océans (Stratégie indo-pacifique) ,125,Fisheries and Oceans Canada,Pêches et Océans Canada
4123,Public Enquiries,Demande de renseignements du public,125,Fisheries and Oceans Canada,Pêches et Océans Canada
4122,Pacific Salmon Conservation and Stewardship Partnerships Program,Programme de partenariats pour la conservation et la gestion du saumon du Pacifique,125,Fisheries and Oceans Canada,Pêches et Océans Canada
4121,Pacific Salmon Commercial Transition Program,Programme de transition commerciale pour le saumon du Pacifique,125,Fisheries and Oceans Canada,Pêches et Océans Canada
4120,Offline Licensing Services,Services d'émission de permis hors ligne,125,Fisheries and Oceans Canada,Pêches et Océans Canada
4119,Multi-Partners Oil Spill Response Research Contribution Program,Programme de contribution à la recherche en matière d’intervention à partenaires multiples lors d’un déversement d’hydrocarbures,125,Fisheries and Oceans Canada,Pêches et Océans Canada
4118,Media Relations,Relations médias,125,Fisheries and Oceans Canada,Pêches et Océans Canada
4117,Marine Spatial Planning Atlas,Atlas de planification spatiale marine,125,Fisheries and Oceans Canada,Pêches et Océans Canada
4116,Lost Fishing Gear Reporting Support Service,Service de soutien à la déclaration des engins de pêche perdus,125,Fisheries and Oceans Canada,Pêches et Océans Canada
4115,Global oceanographic in situational data from the Global Telecommunication System,Données océanographiques mondiales in situ provenant du Système mondial de télécommunication,125,Fisheries and Oceans Canada,Pêches et Océans Canada
4114,External Dissemination of Commercial Fisheries Statistics,Dissémination externe des statisques des pêches commerciales,125,Fisheries and Oceans Canada,Pêches et Océans Canada
4113,Contribution Program for The T. Buck Suzuki Environmental Foundation,Programme de contribution avec la T. Buck Suzuki Environmental Foundation,125,Fisheries and Oceans Canada,Pêches et Océans Canada
4112,Contribution Program For Salmon Sub-Committee,Programme de contribution au sous-comité du Saumon,125,Fisheries and Oceans Canada,Pêches et Océans Canada
4111,Contribution Program for Pacific Salmon Foundation,Programme de contribution à la Fondation du saumon du Pacifique,125,Fisheries and Oceans Canada,Pêches et Océans Canada
4110,Certification and Market Access Program for Seals Contribution Agreement (CMAPS),Le Programme de certification et d'accès aux marchés des produits du phoque (PCAMPP) ,125,Fisheries and Oceans Canada,Pêches et Océans Canada
4109,Canadian Coast Guard Marine Operations and Response Transfer Payment Program,Programme de paiements de transfert pour les opérations maritimes et les interventions de la Garde côtière canadienne,125,Fisheries and Oceans Canada,Pêches et Océans Canada
4108,Regulatory exemption guidance,Orientation sur les exemptions réglementaires,127,Health Canada,Santé Canada
4107,Licensing and registration recommendation,Recommandation en matière de licences et d’enregistrements,127,Health Canada,Santé Canada
4106,Approval of retained controlled substances by law enforcement,Autorisation de conservation des substances contrôlées par les forces de l'ordre,127,Health Canada,Santé Canada
4105,Tobacco Quit Lines,Lignes d'aide pour arrêter de fumer,127,Health Canada,Santé Canada
4104,Medical Access Support,Assistance en matière d'accès aux soins médicaux,127,Health Canada,Santé Canada
4103,Emergency Treatment Fund,Fonds d'urgence pour le traitement,127,Health Canada,Santé Canada
4102,Office of Controlled Substances Licensed Dealer,Bureau des substances contrôlées Distributeur agréé,127,Health Canada,Santé Canada
